exhibit_id,artifact_type,file_path,title,sample_period,source,technical_caption,student_interpretation_status,final_figure_acceptance_status
performance_comparison,table,results/tables/performance_comparison.csv,Performance Comparison Across Nine Completed Funds,Fund-specific; see performance table,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","Annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and terminal growth of $1 for three methods in each of three asset families.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
growth_of_1,figure,results/figures/growth_of_1_comparison.png,Growth of $1 Across Nine Completed Funds,Fund-specific; see performance table,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.",Daily OOS fund returns compounded geometrically from an initial value of $1 and separated by asset family.,PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
drawdown,figure,results/figures/drawdown_comparison.png,Drawdown Across Nine Completed Funds,Fund-specific; see performance table,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","Drawdown from the running wealth peak, including the initial $1 peak, separated by asset family.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
portfolio_weights,figure,results/figures/portfolio_weights_over_time_risk_parity.png,Target Portfolio Weights Over Time - Combined Risk Parity,2021-01-04 to 2023-12-01,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.",Monthly target weights for the ten tickers with the highest mean target weight; remaining exact holdings are aggregated in the figure.,PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
risk_return,figure,results/figures/risk_return_comparison.png,Annualised Return and Risk Across Nine Completed Funds,Fund-specific; see performance table,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.",Geometric annualised return plotted against annualised volatility; point labels report Sharpe ratios.,PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
sector_sentiment,figure,results/figures/sector_sentiment_index.png,Equity Sector Headline-Sentiment Index,2020-01-02 to 2023-12-29,Verified R3 precomputed VADER sector index in results/data/sector_sentiment_index.csv.,Equal-weighted mean of observed ticker-day VADER compound headline scores by equity sector; missing sector-days remain gaps.,PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_combined_equal_weight,fact sheet,results/figures/fund_fact_sheet_combined_equal_weight.png,Fund Fact Sheet - Combined Equal Weight,2021-01-04 to 2023-12-29,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_combined_minimum_variance,fact sheet,results/figures/fund_fact_sheet_combined_minimum_variance.png,Fund Fact Sheet - Combined Minimum Variance,2021-01-04 to 2023-12-29,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_combined_risk_parity,fact sheet,results/figures/fund_fact_sheet_combined_risk_parity.png,Fund Fact Sheet - Combined Risk Parity,2021-01-04 to 2023-12-29,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_cryptocurrency_equal_weight,fact sheet,results/figures/fund_fact_sheet_cryptocurrency_equal_weight.png,Fund Fact Sheet - Cryptocurrency Equal Weight,2021-01-01 to 2023-12-31,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_cryptocurrency_minimum_variance,fact sheet,results/figures/fund_fact_sheet_cryptocurrency_minimum_variance.png,Fund Fact Sheet - Cryptocurrency Minimum Variance,2021-01-01 to 2023-12-31,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_cryptocurrency_risk_parity,fact sheet,results/figures/fund_fact_sheet_cryptocurrency_risk_parity.png,Fund Fact Sheet - Cryptocurrency Risk Parity,2021-01-01 to 2023-12-31,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_equity_equal_weight,fact sheet,results/figures/fund_fact_sheet_equity_equal_weight.png,Fund Fact Sheet - Equity Equal Weight,2021-01-04 to 2023-12-29,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_equity_minimum_variance,fact sheet,results/figures/fund_fact_sheet_equity_minimum_variance.png,Fund Fact Sheet - Equity Minimum Variance,2021-01-04 to 2023-12-29,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
fact_sheet_equity_risk_parity,fact sheet,results/figures/fund_fact_sheet_equity_risk_parity.png,Fund Fact Sheet - Equity Risk Parity,2021-01-04 to 2023-12-29,"Verified R2 precomputed walk-forward out-of-sample results in results/data/fund_returns.csv, results/data/fund_weights.csv, and results/tables/performance_metrics.csv.","One-page factual sheet containing growth of $1, annualised return, annualised volatility, Sharpe ratio, maximum drawdown, and all latest target holdings.",PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
sentiment_fusion_table,table,results/tables/sentiment_fusion_comparison.csv,Equity Equal Weight Before and After Sentiment Fusion,2021-01-04 to 2023-12-29,Verified R4 precomputed equity sentiment-fusion comparison.,Verified R4 base-versus-fusion metrics on an identical historical OOS sample.,PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
sentiment_fusion_figure,figure,results/figures/sentiment_fusion_comparison.png,Equity Equal Weight Before and After Sentiment Fusion,2021-01-04 to 2023-12-29,Verified R4 precomputed equity sentiment-fusion comparison.,Verified R4 growth and drawdown paths for the base and approved one-day-lagged sentiment variant.,PENDING - student must write and verify interpretation,PENDING - student visual review and final acceptance
